,State,City,Population,Total_law_enforcement_employees,Total_crime,employees_perCapita,crime_perCapita
534,CONNECTICUT,Newington,29803.0,62,1109.0,0.0020803274838103545,0.037211019024930375
535,CONNECTICUT,New London,26797.0,82,542.0,0.0030600440347800127,0.02022614471769228
536,CONNECTICUT,New Milford,26548.0,61,230.0,0.002297724875696851,0.00866355281000452
537,CONNECTICUT,Newtown,27858.0,58,116.0,0.0020819872209060235,0.004163974441812047
538,CONNECTICUT,North Branford,14031.0,30,116.0,0.0021381227282446015,0.00826740788254579
539,CONNECTICUT,North Haven,23504.0,59,505.0,0.002510211027910143,0.0214857045609258
540,CONNECTICUT,Norwalk,88930.0,197,1226.0,0.0022152254582255707,0.013786123917688069
541,CONNECTICUT,Norwich,38431.0,96,697.0,0.002497983398818662,0.01813640030183966
542,CONNECTICUT,Old Saybrook,10007.0,33,63.0,0.0032976916158688916,0.0062955930848406115
543,CONNECTICUT,Orange,13874.0,51,480.0,0.003675940608332132,0.03459708807842007
544,CONNECTICUT,Plainfield,15053.0,23,86.0,0.0015279346309705706,0.005713146881020394
545,CONNECTICUT,Plainville,17466.0,51,473.0,0.0029199587770525593,0.027081186304820794
546,CONNECTICUT,Plymouth,11486.0,25,111.0,0.0021765627720703464,0.009663938707992339
547,CONNECTICUT,Portland,9185.0,13,82.0,0.0014153511159499183,0.008927599346761024
548,CONNECTICUT,Putnam,9354.0,20,114.0,0.0021381227282446015,0.012187299550994226
549,CONNECTICUT,Redding,9042.0,22,31.0,0.0024330900243309003,0.0034284450342844503
550,CONNECTICUT,Ridgefield,24919.0,47,49.0,0.00188611099963883,0.0019663710421766525
551,CONNECTICUT,Rocky Hill,20069.0,51,346.0,0.0025412327470227714,0.017240520205291744
552,CONNECTICUT,Seymour,16306.0,39,122.0,0.002391757635226297,0.007481908499938673
553,CONNECTICUT,Shelton,41095.0,62,394.0,0.001508699355152695,0.009587541063389706
554,CONNECTICUT,Simsbury,25639.0,50,114.0,0.0019501540621709116,0.004446351261749679
555,CONNECTICUT,Southington,43897.0,88,842.0,0.002004692803608447,0.019181265234526276
556,CONNECTICUT,South Windsor,26142.0,58,550.0,0.00221865197766047,0.02103894116746997
557,CONNECTICUT,Stamford,132292.0,282,2020.0,0.002131648172225078,0.01526925286487467
558,CONNECTICUT,Stonington,18571.0,52,162.0,0.002800064616875774,0.008723278229497604
559,CONNECTICUT,Stratford,51683.0,109,991.0,0.0021090106998432755,0.019174583518758587
560,CONNECTICUT,Suffield,15817.0,25,73.0,0.0015805778592653474,0.004615287349054815
561,CONNECTICUT,Thomaston,7468.0,25,77.0,0.0033476164970540974,0.01031065881092662
562,CONNECTICUT,Torrington,33631.0,83,458.0,0.0024679611073117062,0.01361838779697303
563,CONNECTICUT,Trumbull,35378.0,82,661.0,0.0023178246367799196,0.01868392786477472
