"","Date Rptd","DATE OCC","AREA NAME","Crm Cd Desc","Vict Age","Vict Sex","Vict Descent","Vict Birth Year"
"508490","2022-01-19","2022-01-19","Olympic","THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","38","F","V","1985"
"508491","2022-07-28","2022-07-28","Foothill","BURGLARY FROM VEHICLE","35","F","B","1988"
"508492","2022-02-05","2022-02-05","77th Street","INTIMATE PARTNER - AGGRAVATED ASSAULT","19","F","H","2004"
"508493","2022-08-03","2022-08-03","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","41","M","W","1982"
"508494","2022-03-18","2022-03-18","Mission","INTIMATE PARTNER - AGGRAVATED ASSAULT","19","F","H","2004"
"508495","2022-10-02","2022-10-02","Van Nuys","BATTERY - SIMPLE ASSAULT","33","F","B","1990"
"508496","2022-12-08","2022-12-08","Mission","THEFT OF IDENTITY","49","F","F","1974"
"508497","2022-04-21","2022-04-21","Mission","BATTERY - SIMPLE ASSAULT","25","M","W","1998"
"508498","2022-01-31","2022-01-31","77th Street","BATTERY - SIMPLE ASSAULT","28","M","H","1995"
"508499","2022-08-21","2022-08-21","Hollenbeck","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","43","M","H","1980"
"508500","2022-02-01","2022-02-01","Olympic","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","43","M","B","1980"
"508501","2022-12-23","2022-12-23","Devonshire","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","53","M","W","1970"
"508502","2022-03-06","2022-03-06","Northeast","THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)","31","M","W","1992"
"508503","2022-01-28","2022-01-28","West Valley","TRESPASSING","44","M","W","1979"
